,,,,Type,,Date,,Num,,Item,,Item Description,,Account,,Class,,Rep,,Paid,,Pay Meth,,Aging,,Qty,,Amount,,Balance,,Avg Days to Pay,,Paid Date,,Pay Period,,Amount Paid
,,,,Payment,,02/13/2026,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-954,605.25",,"740,745.00",,0.00,,,,,,0.00
,,,,Payment,,03/11/2026,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-740,745.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,03/11/2026,,AS011093,,,,,,Accounts Receivable,,Sal:RS,,A,,Unpaid,,,,50,,,,"290,324.25",,"290,324.25",,0.00,,,,,,0.00
,,,,Invoice,,03/19/2026,,AS011103,,,,,,Accounts Receivable,,,,A,,Unpaid,,,,42,,,,"587,817.00",,"878,141.25",,0.00,,,,,,0.00
,,,,Invoice,,03/27/2026,,AS011124,,,,,,Accounts Receivable,,Sal:RS,,A,,Unpaid,,,,34,,,,"251,340.00",,"1,129,481.25",,0.00,,,,,,0.00
,Total Adapt Information Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,"939,081.25",,"1,129,481.25",,0.00,,,,,,
,"Addis Ventures (Pvt) Limited,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,"Total Addis Ventures (Pvt) Limited,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,ADL Digi House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,01/22/2025,,AS010447,,,,,,Accounts Receivable,,Sal:EC,,AR,,Paid,,,,,,,,"46,500.00",,"46,500.00",,0.00,,,,,,0.00
,,,,Payment,,01/22/2025,,Cash,,,,,,Accounts Receivable,,,,,,Paid,,Cash,,,,,,"-46,500.00",,0.00,,0.00,,,,,,0.00
,Total ADL Digi House,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Advance Network Technologies (Pvt)Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Advance Network Technologies (Pvt)Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Adventa Holdings (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,08/27/2025,,AS010776,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"769,419.00",,"769,419.00",,0.00,,,,,,0.00
,,,,Payment,,09/01/2025,,926786,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-769,419.00",,0.00,,0.00,,,,,,0.00
,Total Adventa Holdings (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,AIT Business Solution (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,01/09/2025,,AS010424,,,,,,Accounts Receivable,,Sal:RS,,A,,Unpaid,,,,476,,,,"369,179.00",,"369,179.00",,0.00,,,,,,0.00
,,,,Payment,,03/27/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-155,000.00",,"214,179.00",,0.00,,,,,,0.00
,,,,Payment,,05/14/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-50,000.00",,"164,179.00",,0.00,,,,,,0.00
