,,,,Type,,Date,,Num,,Item,,Item Description,,Account,,Class,,Rep,,Paid,,Pay Meth,,Aging,,Qty,,Amount,,Balance,,Avg Days to Pay,,Paid Date,,Pay Period,,Amount Paid
,,,,Invoice,,01/23/2025,,AS010450,,,,,,Accounts Receivable,,Sal:EC,,AD,,Paid,,,,,,,,"7,000.00",,"7,000.00",,0.00,,,,,,0.00
,,,,Payment,,01/23/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-7,000.00",,0.00,,0.00,,,,,,0.00
,Total Dr. Chinthaka Jayakody,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,DYN TECH ENTERPRISES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total DYN TECH ENTERPRISES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,E-Net Integrated Solutions (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,740.00",,,,,,,,
,,,,Invoice,,11/04/2024,,AS010337,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"23,500.00",,"43,240.00",,0.00,,,,,,0.00
,,,,Payment,,11/04/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-23,500.00",,"19,740.00",,0.00,,,,,,0.00
,,,,Invoice,,03/27/2025,,AS010545,,,,,,Accounts Receivable,,Sal:RS,,AR,,Unpaid,,,,399,,,,"24,000.00",,"43,740.00",,0.00,,,,,,0.00
,,,,Invoice,,04/03/2025,,AS010558,,,,,,Accounts Receivable,,Sal:EC,,AR,,Unpaid,,,,392,,,,"10,500.00",,"54,240.00",,0.00,,,,,,0.00
,,,,Invoice,,04/09/2025,,AS010562,,,,,,Accounts Receivable,,Sal:RS,,AR,,Unpaid,,,,386,,,,"23,600.00",,"77,840.00",,0.00,,,,,,0.00
,,,,Invoice,,10/14/2025,,AS010843,,,,,,Accounts Receivable,,,,AR,,Paid,,,,,,,,"31,950.00",,"109,790.00",,0.00,,,,,,0.00
,,,,Payment,,10/16/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-31,950.00",,"77,840.00",,0.00,,,,,,0.00
,,,,Invoice,,11/03/2025,,AS010886,,,,,,Accounts Receivable,,Sal:RS,,AR,,Paid,,,,,,,,"71,250.00",,"149,090.00",,0.00,,,,,,0.00
,,,,Credit Memo,,12/08/2025,,AS00120,,,,,,Accounts Receivable,,Sal:RS,,,,Paid,,,,,,,,"-47,500.00",,"101,590.00",,0.00,,,,,,0.00
,,,,Invoice,,12/08/2025,,AS010952,,,,,,Accounts Receivable,,,,AR,,Paid,,,,,,,,"23,750.00",,"125,340.00",,0.00,,,,,,0.00
,,,,Payment,,12/08/2025,,,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-23,750.00",,"101,590.00",,0.00,,,,,,0.00
,,,,Payment,,12/08/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-23,750.00",,"77,840.00",,0.00,,,,,,0.00
,,,,Invoice,,01/21/2026,,AS011016,,,,,,Accounts Receivable,,Sal:EC,,AR,,Paid,,,,,,,,"47,500.00",,"125,340.00",,0.00,,,,,,0.00
,,,,Payment,,01/22/2026,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-47,500.00",,"77,840.00",,0.00,,,,,,0.00
,,,,Invoice,,03/25/2026,,AS011121,,,,,,Accounts Receivable,,,,AR,,Paid,,,,,,,,"11,000.00",,"88,840.00",,0.00,,,,,,0.00
,,,,Payment,,03/26/2026,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-11,000.00",,"77,840.00",,0.00,,,,,,0.00
,Total E-Net Integrated Solutions (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,100.00",,"77,840.00",,0.00,,,,,,
,E-Screen Systems (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,05/21/2024,,AS010141,,,,,,Accounts Receivable,,Sal:EC,,A,,Paid,,,,,,,,"23,600.00",,"23,600.00",,0.00,,,,,,0.00
,,,,Invoice,,05/28/2024,,AS010146,,,,,,Accounts Receivable,,Sal:EC,,A,,Paid,,,,,,,,"23,600.00",,"47,200.00",,0.00,,,,,,0.00
,,,,Payment,,08/09/2024,,687791,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-23,600.00",,"23,600.00",,0.00,,,,,,0.00
,,,,Credit Memo,,12/29/2024,,AS00107,,,,,,Accounts Receivable,,Sal:EC,,,,Paid,,,,,,,,"-23,600.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,01/07/2025,,AS010421,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"157,530.00",,"157,530.00",,0.00,,,,,,0.00
,,,,Payment,,01/07/2025,,734042,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-157,530.00",,0.00,,0.00,,,,,,0.00
,Total E-Screen Systems (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,E Con Network (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,04/08/2025,,AS010561,,,,,,Accounts Receivable,,Sal:RS,,AR,,Paid,,,,,,,,"342,200.00",,"342,200.00",,0.00,,,,,,0.00
,,,,Payment,,05/30/2025,,000830,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-342,200.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,01/12/2026,,AS011008,,,,,,Accounts Receivable,,,,AR,,Paid,,,,,,,,"598,260.00",,"598,260.00",,0.00,,,,,,0.00
,,,,Invoice,,02/23/2026,,AS011075,,,,,,Accounts Receivable,,,,AR,,Paid,,,,,,,,"135,228.00",,"733,488.00",,0.00,,,,,,0.00
,,,,Payment,,02/24/2026,,001111,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-135,228.00",,"598,260.00",,0.00,,,,,,0.00
,,,,Payment,,02/24/2026,,001112,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-598,260.00",,0.00,,0.00,,,,,,0.00
,,,,General Journal,,03/12/2026,,,,,,,,Accounts Receivable,,,,,,Paid,,,,,,,,"598,260.00",,"598,260.00",,0.00,,,,,,0.00
,,,,Payment,,04/03/2026,,001144,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-598,260.00",,0.00,,0.00,,,,,,0.00
,Total E Con Network (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,E Tech IT Solutions Pvt Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,05/09/2025,,AS010598,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"201,780.00",,"201,780.00",,0.00,,,,,,0.00
,,,,Payment,,05/19/2025,,981224,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-201,780.00",,0.00,,0.00,,,,,,0.00
,Total E Tech IT Solutions Pvt Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,E Technology System (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,08/04/2025,,AS010742,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"152,220.00",,"152,220.00",,0.00,,,,,,0.00
,,,,Payment,,08/04/2025,,414732,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-152,220.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,03/30/2026,,AS011129,,,,,,Accounts Receivable,,,,AD,,Paid,,,,,,,,"204,140.00",,"204,140.00",,0.00,,,,,,0.00
,,,,Payment,,03/31/2026,,590925,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-204,140.00",,0.00,,0.00,,,,,,0.00
,Total E Technology System (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,E W Balasuriya & Co Pvt Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,01/13/2024,,AS010021,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"1,325,730.00",,"1,325,730.00",,0.00,,,,,,0.00
,,,,Payment,,01/31/2024,,664065,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-1,325,730.00",,0.00,,0.00,,,,,,0.00
,Total E W Balasuriya & Co Pvt Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Edge Networks (PVT) LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,03/04/2024,,AS010065,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"270,220.00",,"270,220.00",,0.00,,,,,,0.00
,,,,Payment,,03/05/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-270,220.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,10/08/2024,,AS010303,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"46,020.00",,"46,020.00",,0.00,,,,,,0.00
,,,,Payment,,10/08/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-46,020.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,11/25/2024,,AS010364,,,,,,Accounts Receivable,,Sal:EC,,A,,Paid,,,,,,,,"206,500.00",,"206,500.00",,0.00,,,,,,0.00
,,,,Payment,,12/09/2024,,Std order,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-206,500.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,02/18/2025,,AS010488,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"1,310,980.00",,"1,310,980.00",,0.00,,,,,,0.00
,,,,Invoice,,02/18/2025,,AS010489,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"609,027.50",,"1,920,007.50",,0.00,,,,,,0.00
,,,,Payment,,03/17/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-1,920,007.50",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,07/28/2025,,AS010730,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"16,166.00",,"16,166.00",,0.00,,,,,,0.00
,,,,Invoice,,08/18/2025,,AS010760,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"139,830.00",,"155,996.00",,0.00,,,,,,0.00
,,,,Payment,,09/09/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-16,166.00",,"139,830.00",,0.00,,,,,,0.00
,,,,Invoice,,09/11/2025,,AS010800,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"329,220.00",,"469,050.00",,0.00,,,,,,0.00
,,,,Payment,,11/25/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-469,050.00",,0.00,,0.00,,,,,,0.00
,Total Edge Networks (PVT) LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Editing Table Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Editing Table Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,EEE Technological Services (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total EEE Technological Services (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,EFL Headquarters (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total EFL Headquarters (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,EHMTDD B Elkaduwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total EHMTDD B Elkaduwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,EITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,489,039.00",,,,,,,,
,,,,Payment,,01/22/2024,,,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-356,940.00",,"2,132,099.00",,0.00,,,,,,0.00
,,,,Payment,,02/25/2025,,,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-6,700.00",,"2,125,399.00",,0.00,,,,,,0.00
,Total EITS,,,,,,,,,,,,,,,,,,,,,,,,,,,"-363,640.00",,"2,125,399.00",,0.00,,,,,,
,Electro Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,500.00",,,,,,,,
,,,,Payment,,03/05/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-14,500.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,07/31/2024,,AS010231,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"105,020.00",,"105,020.00",,0.00,,,,,,0.00
,,,,Payment,,12/24/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-105,000.00",,20.00,,0.00,,,,,,0.00
,,,,Payment,,12/24/2024,,,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,-20.00,,0.00,,0.00,,,,,,0.00
,,,,Invoice,,09/17/2025,,AS010806,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"14,000.00",,"14,000.00",,0.00,,,,,,0.00
,,,,Payment,,12/11/2025,,Deposit,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-14,000.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,12/20/2025,,AS010979,,,,,,Accounts Receivable,,,,AD,,Paid,,,,,,,,"19,000.00",,"19,000.00",,0.00,,,,,,0.00
,,,,Payment,,12/20/2025,,000220,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-19,000.00",,0.00,,0.00,,,,,,0.00
,Total Electro Net,,,,,,,,,,,,,,,,,,,,,,,,,,,"-14,500.00",,0.00,,0.00,,,,,,
,Elegant Knitting International,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,03/30/2024,,AS010094,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"390,816.00",,"390,816.00",,0.00,,,,,,0.00
,,,,Payment,,05/11/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-390,816.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,09/02/2024,,AS010265,,,,,,Accounts Receivable,,Sal:RS,,AS,,Paid,,,,,,,,"344,560.00",,"344,560.00",,0.00,,,,,,0.00
,,,,Payment,,09/13/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-344,560.00",,0.00,,0.00,,,,,,0.00
,,,,Payment,,04/11/2025,,,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-390,816.00",,"-390,816.00",,0.00,,,,,,0.00
,,,,Invoice,,06/12/2025,,AS010642,,,,,,Accounts Receivable,,Mnt,,AS,,Paid,,,,,,,,"390,816.00",,0.00,,0.00,,,,,,0.00
,Total Elegant Knitting International,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Elegent Media Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,03/13/2024,,AS010076,,,,,,Accounts Receivable,,Sal:EC,,AD,,Paid,,,,,,,,"60,180.00",,"60,180.00",,0.00,,,,,,0.00
,,,,Payment,,05/01/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-60,180.00",,0.00,,0.00,,,,,,0.00
,Total Elegent Media Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Enash Global (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,03/05/2024,,AS010066,,,,,,Accounts Receivable,,Sal:EC,,AD,,Paid,,,,,,,,"3,500.00",,"3,500.00",,0.00,,,,,,0.00
,,,,Payment,,03/05/2024,,Cash,,,,,,Accounts Receivable,,,,,,Paid,,Cash,,,,,,"-3,500.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,08/29/2024,,AS010264,,,,,,Accounts Receivable,,Sal:EC,,AD,,Paid,,,,,,,,"151,040.00",,"151,040.00",,0.00,,,,,,0.00
,,,,Payment,,08/29/2024,,604632,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-151,040.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,09/02/2024,,AS010266,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"151,040.00",,"151,040.00",,0.00,,,,,,0.00
,,,,Payment,,09/03/2024,,604636,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-151,040.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,11/04/2024,,AS010336,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"58,010.00",,"58,010.00",,0.00,,,,,,0.00
,,,,Payment,,11/04/2024,,604643,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-58,010.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,12/04/2024,,AS010378,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"144,550.00",,"144,550.00",,0.00,,,,,,0.00
,,,,Payment,,12/04/2024,,618434,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-144,550.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,04/09/2025,,AS010563,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"163,400.00",,"163,400.00",,0.00,,,,,,0.00
,,,,Payment,,04/09/2025,,631026,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-163,400.00",,0.00,,0.00,,,,,,0.00
,Total Enash Global (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Enexe (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Enexe (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Enico Chemical Industries Pvt Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,03/31/2026,,AS011134,,,,,,Accounts Receivable,,,,AD,,Paid,,,,,,,,"4,248.00",,"4,248.00",,0.00,,,,,,0.00
,,,,Payment,,04/09/2026,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-4,248.00",,0.00,,0.00,,,,,,0.00
,Total Enico Chemical Industries Pvt Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,ENTEC COMPUTER SYSTEMS (PVT) LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,10/07/2024,,AS010301,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"161,660.00",,"161,660.00",,0.00,,,,,,0.00
,,,,Payment,,10/08/2024,,185395,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-161,660.00",,0.00,,0.00,,,,,,0.00
,Total ENTEC COMPUTER SYSTEMS (PVT) LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,EPG TECHNOLOGIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,02/20/2025,,AS010496,,,,,,Accounts Receivable,,,,AR,,Paid,,,,,,,,"17,300.00",,"17,300.00",,0.00,,,,,,0.00
,,,,Payment,,04/30/2025,,455340,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-17,300.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,07/11/2025,,AS010700,,,,,,Accounts Receivable,,Sal:RS,,AR,,Paid,,,,,,,,"11,400.00",,"11,400.00",,0.00,,,,,,0.00
,,,,Payment,,08/19/2025,,266502,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-11,400.00",,0.00,,0.00,,,,,,0.00
,,,,Payment,,10/16/2025,,463174,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-17,550.00",,"-17,550.00",,0.00,,,,,,0.00
,,,,Invoice,,10/30/2025,,AS010878,,,,,,Accounts Receivable,,,,AR,,Paid,,,,,,,,"17,550.00",,0.00,,0.00,,,,,,0.00
,Total EPG TECHNOLOGIES,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Epro Technologies (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,10/25/2024,,AS010325,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"217,120.00",,"217,120.00",,0.00,,,,,,0.00
,,,,Payment,,10/28/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-217,120.00",,0.00,,0.00,,,,,,0.00
,Total Epro Technologies (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Eureka Technology Partners (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Eureka Technology Partners (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Fairfirst Insurance Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Fairfirst Insurance Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Fairway Holdings (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Fairway Holdings (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Fazaal Bath Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,01/05/2026,,AS010998,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"8,850.00",,"8,850.00",,0.00,,,,,,0.00
,,,,Payment,,02/18/2026,,944590,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-8,850.00",,0.00,,0.00,,,,,,0.00
,Total Fazaal Bath Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Fazaal Ceramics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,03/23/2026,,AS011115,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"11,800.00",,"11,800.00",,0.00,,,,,,0.00
,Total Fazaal Ceramics,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,800.00",,"11,800.00",,0.00,,,,,,
,Fazaal Ceremics (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,07/02/2024,,AS010199,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"17,700.00",,"17,700.00",,0.00,,,,,,0.00
,,,,Payment,,10/03/2024,,063808,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-17,700.00",,0.00,,0.00,,,,,,0.00
,Total Fazaal Ceremics (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Fentons Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,233,000.00",,,,,,,,
,,,,Payment,,01/18/2024,,032060,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-1,233,000.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,03/11/2024,,AS010074,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"723,340.00",,"723,340.00",,0.00,,,,,,0.00
,,,,Payment,,05/03/2024,,037038,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-723,340.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,07/13/2024,,AS010210,,,,,,Accounts Receivable,,Sal:EC,,A,,Paid,,,,,,,,"21,830.00",,"21,830.00",,0.00,,,,,,0.00
,,,,Payment,,11/05/2024,,056842,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-21,830.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,02/26/2025,,AS010503,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"736,320.00",,"736,320.00",,0.00,,,,,,0.00
,,,,Invoice,,03/26/2025,,AS010543,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"1,112,740.00",,"1,849,060.00",,0.00,,,,,,0.00
,,,,Invoice,,04/11/2025,,AS010567,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"1,033,236.32",,"2,882,296.32",,0.00,,,,,,0.00
,,,,Payment,,04/22/2025,,064050,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-736,320.00",,"2,145,976.32",,0.00,,,,,,0.00
,,,,Payment,,04/22/2025,,064550,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-1,112,740.00",,"1,033,236.32",,0.00,,,,,,0.00
,,,,Invoice,,05/21/2025,,AS010613,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"23,600.00",,"1,056,836.32",,0.00,,,,,,0.00
,,,,Invoice,,05/28/2025,,AS010621,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"2,382,092.55",,"3,438,928.87",,0.00,,,,,,0.00
,,,,Payment,,06/05/2025,,023426,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-2,382,092.55",,"1,056,836.32",,0.00,,,,,,0.00
,,,,Payment,,06/05/2025,,023302,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-1,033,236.32",,"23,600.00",,0.00,,,,,,0.00
,,,,Payment,,06/05/2025,,023398,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-23,600.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,06/18/2025,,AS010657,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"5,750,376.00",,"5,750,376.00",,0.00,,,,,,0.00
,,,,Payment,,08/07/2025,,025070,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-2,500,000.00",,"3,250,376.00",,0.00,,,,,,0.00
,,,,Payment,,08/07/2025,,025069,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-2,500,000.00",,"750,376.00",,0.00,,,,,,0.00
,,,,Payment,,08/07/2025,,025071,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-750,376.00",,0.00,,0.00,,,,,,0.00
